betting_bm_id,betting_sc_id,betting_name,betting_score,year,performer,song,page_url,contest_round,country_name,country_code
5,220,BET365,251.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
4,153,UNIBET,201.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
18,139,YOUWIN,201.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
15,131,BOYLESPORTS,201.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
21,124,CORAL,251.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
13,124,SKYBET,201.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
20,124,BETVICTOR,251.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
22,108,TITANBET,151.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
6,103,PAF,201.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
30,101,BETFAIRSPORT,151.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
11,92,SPORTINGBET,151.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
17,87,INTERTOPS,151.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
1,82,PADDYPOWER,201.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
14,76,BETFRED,101.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
19,72,BETWAY,151.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
16,66,STANJAMES,126.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
23,43,BWIN,,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
24,12,MATCHBOOK,496.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
2,-200,BETFAIR*EXCHANGE,950.0,2015,Ann Sophie,Black Smoke,/eurovision/2015/germany,final,Germany,Germany
14,155,BETFRED,3.75,2015,Trijntje Oosterhuis,Walk Along,/eurovision/2015/netherlands,semi-final-1,Netherlands,Netherlands
15,143,BOYLESPORTS,3.6,2015,Trijntje Oosterhuis,Walk Along,/eurovision/2015/netherlands,semi-final-1,Netherlands,Netherlands
13,115,SKYBET,3.25,2015,Trijntje Oosterhuis,Walk Along,/eurovision/2015/netherlands,semi-final-1,Netherlands,Netherlands
22,105,TITANBET,3.5,2015,Trijntje Oosterhuis,Walk Along,/eurovision/2015/netherlands,semi-final-1,Netherlands,Netherlands
18,100,YOUWIN,3.5,2015,Trijntje Oosterhuis,Walk Along,/eurovision/2015/netherlands,semi-final-1,Netherlands,Netherlands
30,95,BETFAIRSPORT,3.0,2015,Trijntje Oosterhuis,Walk Along,/eurovision/2015/netherlands,semi-final-1,Netherlands,Netherlands
21,80,CORAL,3.25,2015,Trijntje Oosterhuis,Walk Along,/eurovision/2015/netherlands,semi-final-1,Netherlands,Netherlands
11,80,SPORTINGBET,3.0,2015,Trijntje Oosterhuis,Walk Along,/eurovision/2015/netherlands,semi-final-1,Netherlands,Netherlands
1,60,PADDYPOWER,2.75,2015,Trijntje Oosterhuis,Walk Along,/eurovision/2015/netherlands,semi-final-1,Netherlands,Netherlands
2,-200,BETFAIR*EXCHANGE,3.57,2015,Trijntje Oosterhuis,Walk Along,/eurovision/2015/netherlands,semi-final-1,Netherlands,Netherlands
14,146,BETFRED,9.0,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
15,145,BOYLESPORTS,9.0,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
22,118,TITANBET,9.0,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
30,111,BETFAIRSPORT,6.0,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
21,104,CORAL,8.0,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
13,100,SKYBET,9.0,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
1,95,PADDYPOWER,7.0,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
18,77,YOUWIN,6.0,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
11,68,SPORTINGBET,5.5,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
20,59,BETVICTOR,6.0,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
2,-200,BETFAIR*EXCHANGE,13.0,2015,Perniola & Simoncini,Chain Of Lights,/eurovision/2015/san-marino,semi-final-2,San Marino,San Marino
5,170,BET365,251.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
30,165,BETFAIRSPORT,501.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
16,145,STANJAMES,501.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
15,138,BOYLESPORTS,251.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
11,130,SPORTINGBET,501.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
21,125,CORAL,201.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
4,125,UNIBET,301.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
43,120,MARA-THON,301.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
13,110,SKYBET,251.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
45,110,NETBET,271.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
20,105,BETVICTOR,301.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
22,95,TITANBET,251.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
25,85,BETSSON,230.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
6,85,PAF,301.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
17,75,INTERTOPS,151.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
1,65,PADDYPOWER,201.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
14,60,BETFRED,101.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
23,48,BWIN,101.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
19,45,BETWAY,201.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
2,-200,BETFAIR*EXCHANGE,504.0,2016,Jamie-Lee Kriewitz,Ghost,/eurovision/2016/germany,final,Germany,Germany
30,145,BETFAIRSPORT,19.0,2016,Highway,The Real Thing,/eurovision/2016/montenegro,semi-final-1,Montenegro,Montenegro
20,140,BETVICTOR,21.0,2016,Highway,The Real Thing,/eurovision/2016/montenegro,semi-final-1,Montenegro,Montenegro
4,125,UNIBET,12.0,2016,Highway,The Real Thing,/eurovision/2016/montenegro,semi-final-1,Montenegro,Montenegro
21,120,CORAL,21.0,2016,Highway,The Real Thing,/eurovision/2016/montenegro,semi-final-1,Montenegro,Montenegro
14,115,BETFRED,17.0,2016,Highway,The Real Thing,/eurovision/2016/montenegro,semi-final-1,Montenegro,Montenegro
13,95,SKYBET,13.0,2016,Highway,The Real Thing,/eurovision/2016/montenegro,semi-final-1,Montenegro,Montenegro
1,90,PADDYPOWER,15.0,2016,Highway,The Real Thing,/eurovision/2016/montenegro,semi-final-1,Montenegro,Montenegro
15,73,BOYLESPORTS,11.0,2016,Highway,The Real Thing,/eurovision/2016/montenegro,semi-final-1,Montenegro,Montenegro
43,70,MARA-THON,11.0,2016,Highway,The Real Thing,/eurovision/2016/montenegro,semi-final-1,Montenegro,Montenegro
2,-200,BETFAIR*EXCHANGE,26.0,2016,Highway,The Real Thing,/eurovision/2016/montenegro,semi-final-1,Montenegro,Montenegro
30,153,BETFAIRSPORT,17.0,2016,Rykka,The Last of Our Kind,/eurovision/2016/switzerland,semi-final-2,Switzerland,Switzerland
21,140,CORAL,19.0,2016,Rykka,The Last of Our Kind,/eurovision/2016/switzerland,semi-final-2,Switzerland,Switzerland
15,119,BOYLESPORTS,17.0,2016,Rykka,The Last of Our Kind,/eurovision/2016/switzerland,semi-final-2,Switzerland,Switzerland
20,117,BETVICTOR,13.0,2016,Rykka,The Last of Our Kind,/eurovision/2016/switzerland,semi-final-2,Switzerland,Switzerland
4,117,UNIBET,10.0,2016,Rykka,The Last of Our Kind,/eurovision/2016/switzerland,semi-final-2,Switzerland,Switzerland
14,99,BETFRED,13.0,2016,Rykka,The Last of Our Kind,/eurovision/2016/switzerland,semi-final-2,Switzerland,Switzerland
1,83,PADDYPOWER,13.0,2016,Rykka,The Last of Our Kind,/eurovision/2016/switzerland,semi-final-2,Switzerland,Switzerland
13,56,SKYBET,11.0,2016,Rykka,The Last of Our Kind,/eurovision/2016/switzerland,semi-final-2,Switzerland,Switzerland
2,-200,BETFAIR*EXCHANGE,15.0,2016,Rykka,The Last of Our Kind,/eurovision/2016/switzerland,semi-final-2,Switzerland,Switzerland
5,219,BET365,1001.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
4,151,UNIBET,501.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
11,133,SPORTINGBET,301.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
26,129,DANSKESPIL,500.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
25,123,BETSSON,500.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
10,122,LADBROKES,251.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
30,119,BETFAIRSPORT,501.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
13,117,SKYBET,251.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
15,102,BOYLESPORTS,501.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
21,101,CORAL,251.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
1,100,PADDYPOWER,501.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
42,78,10BET,401.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
12,72,WILLIAMHILL,201.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
14,61,BETFRED,101.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
23,55,BWIN,301.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
19,53,BETWAY,301.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
47,46,BETSTARS,501.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
2,-200,BETFAIR*EXCHANGE,1000.0,2017,Manel Navarro,Do It for Your Lover,/eurovision/2017/spain,final,Spain,Spain
5,205,BET365,15.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
4,155,UNIBET,12.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
15,150,BOYLESPORTS,13.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
30,148,BETFAIRSPORT,11.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
13,138,SKYBET,15.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
1,117,PADDYPOWER,11.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
12,97,WILLIAMHILL,13.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
47,88,BETSTARS,12.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
14,82,BETFRED,7.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
25,78,BETSSON,11.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
19,65,BETWAY,8.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
11,63,SPORTINGBET,12.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
23,58,BWIN,11.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
42,52,10BET,10.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
2,-200,BETFAIR*EXCHANGE,16.0,2017,Martina Bárta,My Turn,/eurovision/2017/czechia,semi-final-1,Czechia,Czechia
5,196,BET365,17.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
30,168,BETFAIRSPORT,26.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
1,150,PADDYPOWER,26.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
4,138,UNIBET,12.0,2017,Monetta & Wilson,Spirit Of The Night,/eurovision/2017/san-marino,semi-final-2,San Marino,San Marino
