year,round,country,bookmaker,odds
2015,final,AL,BET365,151
2015,final,AL,BETFAIR*EXCHANGE,950
2015,final,AL,BETFAIRSPORT,101
2015,final,AL,BETFRED,101
2015,final,AL,BETVICTOR,101
2015,final,AL,BETWAY,101
2015,final,AL,BOYLESPORTS,126
2015,final,AL,BWIN,101
2015,final,AL,CORAL,101
2015,final,AL,INTERTOPS,101
2015,final,AL,MATCHBOOK,496
2015,final,AL,PADDYPOWER,101
2015,final,AL,PAF,101
2015,final,AL,SKYBET,151
2015,final,AL,SPORTINGBET,101
2015,final,AL,STANJAMES,101
2015,final,AL,TITANBET,126
2015,final,AL,UNIBET,101
2015,final,AL,YOUWIN,126
2015,final,AM,BET365,151
2015,final,AM,BETFAIR*EXCHANGE,228
2015,final,AM,BETFAIRSPORT,101
2015,final,AM,BETFRED,101
2015,final,AM,BETVICTOR,151
2015,final,AM,BETWAY,126
2015,final,AM,BOYLESPORTS,176
2015,final,AM,BWIN,101
2015,final,AM,CORAL,151
2015,final,AM,INTERTOPS,126
2015,final,AM,MATCHBOOK,199
2015,final,AM,PADDYPOWER,101
2015,final,AM,PAF,101
2015,final,AM,SKYBET,151
2015,final,AM,SPORTINGBET,101
2015,final,AM,STANJAMES,126
2015,final,AM,TITANBET,151
2015,final,AM,UNIBET,101
2015,final,AM,YOUWIN,151
2015,final,AT,BET365,251
2015,final,AT,BETFAIR*EXCHANGE,950
2015,final,AT,BETFAIRSPORT,101
2015,final,AT,BETFRED,101
2015,final,AT,BETVICTOR,126
2015,final,AT,BETWAY,151
2015,final,AT,BOYLESPORTS,151
2015,final,AT,BWIN,101
2015,final,AT,CORAL,251
2015,final,AT,INTERTOPS,151
2015,final,AT,MATCHBOOK,496
2015,final,AT,PADDYPOWER,151
2015,final,AT,PAF,201
2015,final,AT,SKYBET,151
2015,final,AT,SPORTINGBET,151
2015,final,AT,STANJAMES,101
2015,final,AT,TITANBET,151
2015,final,AT,UNIBET,201
2015,final,AT,YOUWIN,251
2015,final,AU,BET365,11
2015,final,AU,BETFAIR*EXCHANGE,17
2015,final,AU,BETFAIRSPORT,11
2015,final,AU,BETFRED,13
2015,final,AU,BETVICTOR,13
2015,final,AU,BETWAY,11
2015,final,AU,BOYLESPORTS,11
2015,final,AU,BWIN,13
2015,final,AU,CORAL,10
2015,final,AU,INTERTOPS,9
2015,final,AU,MATCHBOOK,16
2015,final,AU,PADDYPOWER,10
2015,final,AU,PAF,10
2015,final,AU,SKYBET,11
2015,final,AU,SPORTINGBET,11
2015,final,AU,STANJAMES,9
2015,final,AU,TITANBET,10
2015,final,AU,UNIBET,12
2015,final,AU,YOUWIN,9
2015,final,AZ,BET365,67
