year,round,from_country,to_country,total_points,televoting_points,jury_points
1957,final,AT,NL,6,NA,NA
1957,final,AT,FR,0,NA,NA
1957,final,AT,DK,0,NA,NA
1957,final,AT,LU,3,NA,NA
1957,final,AT,DE,0,NA,NA
1957,final,AT,IT,0,NA,NA
1957,final,AT,GB,1,NA,NA
1957,final,AT,BE,0,NA,NA
1957,final,AT,CH,0,NA,NA
1957,final,BE,NL,5,NA,NA
1957,final,BE,FR,2,NA,NA
1957,final,BE,DK,0,NA,NA
1957,final,BE,LU,0,NA,NA
1957,final,BE,DE,1,NA,NA
1957,final,BE,IT,1,NA,NA
1957,final,BE,GB,1,NA,NA
1957,final,BE,CH,0,NA,NA
1957,final,BE,AT,0,NA,NA
1957,final,DK,NL,3,NA,NA
1957,final,DK,FR,2,NA,NA
1957,final,DK,LU,0,NA,NA
1957,final,DK,DE,0,NA,NA
1957,final,DK,IT,1,NA,NA
1957,final,DK,GB,0,NA,NA
1957,final,DK,BE,2,NA,NA
1957,final,DK,CH,2,NA,NA
1957,final,DK,AT,0,NA,NA
1957,final,FR,NL,4,NA,NA
1957,final,FR,DK,0,NA,NA
1957,final,FR,LU,0,NA,NA
1957,final,FR,DE,6,NA,NA
1957,final,FR,IT,0,NA,NA
1957,final,FR,GB,0,NA,NA
1957,final,FR,BE,0,NA,NA
1957,final,FR,CH,0,NA,NA
1957,final,FR,AT,0,NA,NA
1957,final,DE,NL,1,NA,NA
1957,final,DE,FR,6,NA,NA
1957,final,DE,DK,0,NA,NA
1957,final,DE,LU,0,NA,NA
1957,final,DE,IT,0,NA,NA
1957,final,DE,GB,0,NA,NA
1957,final,DE,BE,2,NA,NA
1957,final,DE,CH,1,NA,NA
1957,final,DE,AT,0,NA,NA
1957,final,IT,NL,1,NA,NA
1957,final,IT,FR,0,NA,NA
1957,final,IT,DK,3,NA,NA
1957,final,IT,LU,4,NA,NA
1957,final,IT,DE,1,NA,NA
1957,final,IT,GB,0,NA,NA
1957,final,IT,BE,0,NA,NA
1957,final,IT,CH,1,NA,NA
1957,final,IT,AT,0,NA,NA
1957,final,LU,NL,3,NA,NA
1957,final,LU,FR,4,NA,NA
1957,final,LU,DK,0,NA,NA
1957,final,LU,DE,0,NA,NA
1957,final,LU,IT,1,NA,NA
1957,final,LU,GB,1,NA,NA
1957,final,LU,BE,0,NA,NA
1957,final,LU,CH,1,NA,NA
1957,final,LU,AT,0,NA,NA
1957,final,NL,FR,1,NA,NA
1957,final,NL,DK,5,NA,NA
1957,final,NL,LU,0,NA,NA
1957,final,NL,DE,0,NA,NA
1957,final,NL,IT,2,NA,NA
1957,final,NL,GB,1,NA,NA
1957,final,NL,BE,0,NA,NA
1957,final,NL,CH,0,NA,NA
1957,final,NL,AT,1,NA,NA
1957,final,CH,NL,7,NA,NA
1957,final,CH,FR,0,NA,NA
1957,final,CH,DK,0,NA,NA
1957,final,CH,LU,0,NA,NA
1957,final,CH,DE,0,NA,NA
1957,final,CH,IT,0,NA,NA
1957,final,CH,GB,2,NA,NA
1957,final,CH,BE,1,NA,NA
1957,final,CH,AT,0,NA,NA
1957,final,GB,NL,1,NA,NA
1957,final,GB,FR,2,NA,NA
1957,final,GB,DK,2,NA,NA
1957,final,GB,LU,1,NA,NA
1957,final,GB,DE,0,NA,NA
1957,final,GB,IT,2,NA,NA
1957,final,GB,BE,0,NA,NA
1957,final,GB,CH,0,NA,NA
1957,final,GB,AT,2,NA,NA
1958,final,AT,FR,7,NA,NA
1958,final,AT,CH,0,NA,NA
1958,final,AT,IT,1,NA,NA
1958,final,AT,SE,1,NA,NA
1958,final,AT,BE,0,NA,NA
1958,final,AT,DE,1,NA,NA
1958,final,AT,DK,0,NA,NA
1958,final,AT,NL,0,NA,NA
1958,final,AT,LU,0,NA,NA
1958,final,BE,FR,1,NA,NA
1958,final,BE,CH,2,NA,NA
1958,final,BE,IT,4,NA,NA
1958,final,BE,SE,1,NA,NA
1958,final,BE,AT,1,NA,NA
1958,final,BE,DE,1,NA,NA
1958,final,BE,DK,0,NA,NA
1958,final,BE,NL,0,NA,NA
1958,final,BE,LU,0,NA,NA
1958,final,DK,FR,9,NA,NA
1958,final,DK,CH,0,NA,NA
1958,final,DK,IT,0,NA,NA
1958,final,DK,SE,0,NA,NA
1958,final,DK,BE,1,NA,NA
1958,final,DK,AT,0,NA,NA
1958,final,DK,DE,0,NA,NA
1958,final,DK,NL,0,NA,NA
1958,final,DK,LU,0,NA,NA
1958,final,FR,CH,3,NA,NA
1958,final,FR,IT,1,NA,NA
1958,final,FR,SE,0,NA,NA
1958,final,FR,BE,0,NA,NA
1958,final,FR,AT,3,NA,NA
1958,final,FR,DE,2,NA,NA
1958,final,FR,DK,1,NA,NA
1958,final,FR,NL,0,NA,NA
1958,final,FR,LU,0,NA,NA
1958,final,DE,FR,1,NA,NA
1958,final,DE,CH,0,NA,NA
1958,final,DE,IT,4,NA,NA
1958,final,DE,SE,0,NA,NA
1958,final,DE,BE,5,NA,NA
1958,final,DE,AT,0,NA,NA
1958,final,DE,DK,0,NA,NA
1958,final,DE,NL,0,NA,NA
1958,final,DE,LU,0,NA,NA
1958,final,IT,FR,6,NA,NA
1958,final,IT,CH,4,NA,NA
1958,final,IT,SE,0,NA,NA
1958,final,IT,BE,0,NA,NA
1958,final,IT,AT,0,NA,NA
1958,final,IT,DE,0,NA,NA
1958,final,IT,DK,0,NA,NA
1958,final,IT,NL,0,NA,NA
1958,final,IT,LU,0,NA,NA
1958,final,LU,FR,1,NA,NA
1958,final,LU,CH,5,NA,NA
1958,final,LU,IT,0,NA,NA
1958,final,LU,SE,3,NA,NA
1958,final,LU,BE,0,NA,NA
1958,final,LU,AT,1,NA,NA
1958,final,LU,DE,0,NA,NA
1958,final,LU,DK,0,NA,NA
1958,final,LU,NL,0,NA,NA
1958,final,NL,FR,0,NA,NA
1958,final,NL,CH,6,NA,NA
1958,final,NL,IT,1,NA,NA
1958,final,NL,SE,2,NA,NA
1958,final,NL,BE,0,NA,NA
1958,final,NL,AT,0,NA,NA
1958,final,NL,DE,0,NA,NA
1958,final,NL,DK,1,NA,NA
1958,final,NL,LU,0,NA,NA
1958,final,SE,FR,1,NA,NA
1958,final,SE,CH,4,NA,NA
1958,final,SE,IT,1,NA,NA
1958,final,SE,BE,1,NA,NA
1958,final,SE,AT,1,NA,NA
1958,final,SE,DE,1,NA,NA
1958,final,SE,DK,1,NA,NA
1958,final,SE,NL,0,NA,NA
1958,final,SE,LU,0,NA,NA
1958,final,CH,FR,1,NA,NA
1958,final,CH,IT,1,NA,NA
1958,final,CH,SE,3,NA,NA
1958,final,CH,BE,1,NA,NA
1958,final,CH,AT,2,NA,NA
1958,final,CH,DE,0,NA,NA
1958,final,CH,DK,0,NA,NA
1958,final,CH,NL,1,NA,NA
1958,final,CH,LU,1,NA,NA
1959,final,AT,NL,3,NA,NA
1959,final,AT,GB,2,NA,NA
1959,final,AT,FR,1,NA,NA
1959,final,AT,CH,1,NA,NA
1959,final,AT,DK,2,NA,NA
1959,final,AT,IT,0,NA,NA
1959,final,AT,BE,0,NA,NA
1959,final,AT,DE,0,NA,NA
1959,final,AT,SE,0,NA,NA
1959,final,AT,MC,1,NA,NA
1959,final,BE,NL,3,NA,NA
1959,final,BE,GB,2,NA,NA
1959,final,BE,FR,2,NA,NA
1959,final,BE,CH,1,NA,NA
1959,final,BE,DK,0,NA,NA
1959,final,BE,IT,1,NA,NA
1959,final,BE,DE,1,NA,NA
1959,final,BE,SE,0,NA,NA
1959,final,BE,AT,0,NA,NA
1959,final,BE,MC,0,NA,NA
1959,final,DK,NL,0,NA,NA
1959,final,DK,GB,1,NA,NA
1959,final,DK,FR,4,NA,NA
1959,final,DK,CH,2,NA,NA
1959,final,DK,IT,0,NA,NA
1959,final,DK,BE,2,NA,NA
1959,final,DK,DE,0,NA,NA
1959,final,DK,SE,1,NA,NA
1959,final,DK,AT,0,NA,NA
1959,final,DK,MC,0,NA,NA
1959,final,FR,NL,4,NA,NA
1959,final,FR,GB,1,NA,NA
1959,final,FR,CH,0,NA,NA
1959,final,FR,DK,0,NA,NA
1959,final,FR,IT,3,NA,NA
1959,final,FR,BE,0,NA,NA
1959,final,FR,DE,2,NA,NA
1959,final,FR,SE,0,NA,NA
1959,final,FR,AT,0,NA,NA
1959,final,FR,MC,0,NA,NA
1959,final,DE,NL,2,NA,NA
1959,final,DE,GB,0,NA,NA
1959,final,DE,FR,4,NA,NA
1959,final,DE,CH,1,NA,NA
1959,final,DE,DK,0,NA,NA
1959,final,DE,IT,0,NA,NA
1959,final,DE,BE,3,NA,NA
1959,final,DE,SE,0,NA,NA
1959,final,DE,AT,0,NA,NA
1959,final,DE,MC,0,NA,NA
1959,final,IT,NL,7,NA,NA
1959,final,IT,GB,0,NA,NA
1959,final,IT,FR,1,NA,NA
1959,final,IT,CH,0,NA,NA
1959,final,IT,DK,1,NA,NA
1959,final,IT,BE,0,NA,NA
1959,final,IT,DE,1,NA,NA
1959,final,IT,SE,0,NA,NA
1959,final,IT,AT,0,NA,NA
