year,round,from_country,A,B,C,D,E,to_country
2016,semi-final-1,AM,12,16,16,14,14,AT
2016,semi-final-1,AM,17,17,17,17,17,AZ
2016,semi-final-1,AM,11,13,14,10,10,BA
2016,semi-final-1,AM,8,8,11,9,7,HR
2016,semi-final-1,AM,14,12,15,12,13,CY
2016,semi-final-1,AM,5,11,5,5,5,CZ
2016,semi-final-1,AM,10,14,12,15,11,EE
2016,semi-final-1,AM,4,4,6,3,3,FI
2016,semi-final-1,AM,7,9,10,7,9,GR
2016,semi-final-1,AM,16,5,8,16,16,HU
2016,semi-final-1,AM,13,10,13,11,12,IS
2016,semi-final-1,AM,1,1,1,1,1,MT
2016,semi-final-1,AM,6,6,4,6,6,MD
2016,semi-final-1,AM,2,2,2,2,2,ME
2016,semi-final-1,AM,9,7,9,8,8,NL
2016,semi-final-1,AM,3,3,7,4,4,RU
2016,semi-final-1,AM,15,15,3,13,15,SM
2016,semi-final-1,AT,2,4,9,7,6,AM
2016,semi-final-1,AT,10,9,3,6,9,AZ
2016,semi-final-1,AT,11,15,2,15,13,BA
2016,semi-final-1,AT,3,7,4,5,8,HR
2016,semi-final-1,AT,16,11,10,13,12,CY
2016,semi-final-1,AT,9,1,5,2,4,CZ
2016,semi-final-1,AT,4,10,8,12,10,EE
2016,semi-final-1,AT,6,12,13,8,2,FI
2016,semi-final-1,AT,15,17,17,17,16,GR
2016,semi-final-1,AT,8,8,12,9,15,HU
2016,semi-final-1,AT,12,5,7,10,5,IS
2016,semi-final-1,AT,5,2,1,1,1,MT
2016,semi-final-1,AT,14,13,14,14,14,MD
2016,semi-final-1,AT,17,16,15,16,11,ME
2016,semi-final-1,AT,1,6,11,3,7,NL
2016,semi-final-1,AT,7,3,6,4,3,RU
2016,semi-final-1,AT,13,14,16,11,17,SM
2016,semi-final-1,AZ,17,17,17,17,17,AM
2016,semi-final-1,AZ,12,14,13,14,14,AT
2016,semi-final-1,AZ,2,1,2,3,1,BA
2016,semi-final-1,AZ,13,9,10,10,13,HR
2016,semi-final-1,AZ,16,15,15,16,16,CY
2016,semi-final-1,AZ,10,11,11,9,9,CZ
2016,semi-final-1,AZ,9,12,9,11,10,EE
2016,semi-final-1,AZ,11,10,14,13,11,FI
2016,semi-final-1,AZ,5,5,6,7,5,GR
2016,semi-final-1,AZ,4,3,3,2,4,HU
2016,semi-final-1,AZ,14,13,12,12,12,IS
2016,semi-final-1,AZ,8,6,7,6,8,MT
2016,semi-final-1,AZ,6,8,4,5,6,MD
2016,semi-final-1,AZ,3,4,5,4,3,ME
2016,semi-final-1,AZ,15,16,16,15,15,NL
2016,semi-final-1,AZ,1,2,1,1,2,RU
2016,semi-final-1,AZ,7,7,8,8,7,SM
2016,semi-final-1,BA,3,5,1,1,9,AM
2016,semi-final-1,BA,15,16,13,16,15,AT
2016,semi-final-1,BA,9,4,7,8,2,AZ
2016,semi-final-1,BA,7,6,8,9,8,HR
2016,semi-final-1,BA,14,11,16,15,1,CY
2016,semi-final-1,BA,1,3,2,2,3,CZ
2016,semi-final-1,BA,13,10,14,14,14,EE
2016,semi-final-1,BA,16,7,9,17,11,FI
2016,semi-final-1,BA,8,14,17,7,10,GR
2016,semi-final-1,BA,5,13,5,5,16,HU
2016,semi-final-1,BA,11,9,12,12,13,IS
2016,semi-final-1,BA,12,8,11,10,6,MT
2016,semi-final-1,BA,17,12,15,13,17,MD
2016,semi-final-1,BA,6,15,6,6,12,ME
2016,semi-final-1,BA,10,17,10,11,5,NL
