Country,juror_A,juror_B,juror_C,juror_D,juror_E,act,night,city,year
Austria,12,16,16,14,14,armenia,first-semi-final,stockholm,2016
Azerbaijan,17,17,17,17,17,armenia,first-semi-final,stockholm,2016
BosniaHerzegovina,11,13,14,10,10,armenia,first-semi-final,stockholm,2016
Croatia,8,8,11,9,7,armenia,first-semi-final,stockholm,2016
Cyprus,14,12,15,12,13,armenia,first-semi-final,stockholm,2016
Czechia,5,11,5,5,5,armenia,first-semi-final,stockholm,2016
Estonia,10,14,12,15,11,armenia,first-semi-final,stockholm,2016
Finland,4,4,6,3,3,armenia,first-semi-final,stockholm,2016
Greece,7,9,10,7,9,armenia,first-semi-final,stockholm,2016
Hungary,16,5,8,16,16,armenia,first-semi-final,stockholm,2016
Iceland,13,10,13,11,12,armenia,first-semi-final,stockholm,2016
Malta,1,1,1,1,1,armenia,first-semi-final,stockholm,2016
Moldova,6,6,4,6,6,armenia,first-semi-final,stockholm,2016
Montenegro,2,2,2,2,2,armenia,first-semi-final,stockholm,2016
Netherlands,9,7,9,8,8,armenia,first-semi-final,stockholm,2016
Russia,3,3,7,4,4,armenia,first-semi-final,stockholm,2016
SanMarino,15,15,3,13,15,armenia,first-semi-final,stockholm,2016
Armenia,2,4,9,7,6,austria,first-semi-final,stockholm,2016
Azerbaijan,10,9,3,6,9,austria,first-semi-final,stockholm,2016
BosniaHerzegovina,11,15,2,15,13,austria,first-semi-final,stockholm,2016
Croatia,3,7,4,5,8,austria,first-semi-final,stockholm,2016
Cyprus,16,11,10,13,12,austria,first-semi-final,stockholm,2016
Czechia,9,1,5,2,4,austria,first-semi-final,stockholm,2016
Estonia,4,10,8,12,10,austria,first-semi-final,stockholm,2016
Finland,6,12,13,8,2,austria,first-semi-final,stockholm,2016
Greece,15,17,17,17,16,austria,first-semi-final,stockholm,2016
Hungary,8,8,12,9,15,austria,first-semi-final,stockholm,2016
Iceland,12,5,7,10,5,austria,first-semi-final,stockholm,2016
Malta,5,2,1,1,1,austria,first-semi-final,stockholm,2016
Moldova,14,13,14,14,14,austria,first-semi-final,stockholm,2016
Montenegro,17,16,15,16,11,austria,first-semi-final,stockholm,2016
Netherlands,1,6,11,3,7,austria,first-semi-final,stockholm,2016
Russia,7,3,6,4,3,austria,first-semi-final,stockholm,2016
SanMarino,13,14,16,11,17,austria,first-semi-final,stockholm,2016
Armenia,17,17,17,17,17,azerbaijan,first-semi-final,stockholm,2016
Austria,12,14,13,14,14,azerbaijan,first-semi-final,stockholm,2016
BosniaHerzegovina,2,1,2,3,1,azerbaijan,first-semi-final,stockholm,2016
Croatia,13,9,10,10,13,azerbaijan,first-semi-final,stockholm,2016
Cyprus,16,15,15,16,16,azerbaijan,first-semi-final,stockholm,2016
Czechia,10,11,11,9,9,azerbaijan,first-semi-final,stockholm,2016
Estonia,9,12,9,11,10,azerbaijan,first-semi-final,stockholm,2016
Finland,11,10,14,13,11,azerbaijan,first-semi-final,stockholm,2016
Greece,5,5,6,7,5,azerbaijan,first-semi-final,stockholm,2016
Hungary,4,3,3,2,4,azerbaijan,first-semi-final,stockholm,2016
Iceland,14,13,12,12,12,azerbaijan,first-semi-final,stockholm,2016
Malta,8,6,7,6,8,azerbaijan,first-semi-final,stockholm,2016
Moldova,6,8,4,5,6,azerbaijan,first-semi-final,stockholm,2016
Montenegro,3,4,5,4,3,azerbaijan,first-semi-final,stockholm,2016
Netherlands,15,16,16,15,15,azerbaijan,first-semi-final,stockholm,2016
Russia,1,2,1,1,2,azerbaijan,first-semi-final,stockholm,2016
SanMarino,7,7,8,8,7,azerbaijan,first-semi-final,stockholm,2016
Armenia,3,5,1,1,9,bosnia-herzegovina,first-semi-final,stockholm,2016
Austria,15,16,13,16,15,bosnia-herzegovina,first-semi-final,stockholm,2016
Azerbaijan,9,4,7,8,2,bosnia-herzegovina,first-semi-final,stockholm,2016
Croatia,7,6,8,9,8,bosnia-herzegovina,first-semi-final,stockholm,2016
Cyprus,14,11,16,15,1,bosnia-herzegovina,first-semi-final,stockholm,2016
Czechia,1,3,2,2,3,bosnia-herzegovina,first-semi-final,stockholm,2016
Estonia,13,10,14,14,14,bosnia-herzegovina,first-semi-final,stockholm,2016
Finland,16,7,9,17,11,bosnia-herzegovina,first-semi-final,stockholm,2016
Greece,8,14,17,7,10,bosnia-herzegovina,first-semi-final,stockholm,2016
Hungary,5,13,5,5,16,bosnia-herzegovina,first-semi-final,stockholm,2016
Iceland,11,9,12,12,13,bosnia-herzegovina,first-semi-final,stockholm,2016
Malta,12,8,11,10,6,bosnia-herzegovina,first-semi-final,stockholm,2016
Moldova,17,12,15,13,17,bosnia-herzegovina,first-semi-final,stockholm,2016
